"PROJECT_CODE","YEAR","n","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_","MT1_P_","MT1_P_CI_","MT2_P_","MT2_P_CI_","MT3_P_","MT3_P_CI_","MT4_P_","MT4_P_CI_","MT5_P_","MT5_P_CI_","MT6_P_","MT6_P_CI_","MT7_P_","MT7_P_CI_","MT8_P_","MT8_P_CI_","MT9_P_","MT9_P_CI_","MT10_P_","MT10_P_CI_","MM_P_","MM_P_CI_","TF_P_","TF_P_CI_","FT11_P_","FT11_P_CI_","FT12_P_","FT12_P_CI_","FT13_P_","FT13_P_CI_","MF_P_","MF_P_CI_"
"T04","1990",14,893456.000000,674240.000000,2714634.000000,1145882.000000,367594.000000,231783.000000,27407.000000,14211.000000,252402.000000,144292.000000,246053.000000,367349.000000,485748.000000,264227.000000,7750.000000,6287.000000,555628.000000,335093.000000,873.000000,1884.000000,336711.000000,227839.000000,434468.000000,296201.000000,1386954.000000,880071.000000,1423894.000000,597299.000000,986132.000000,435566.000000,146749.000000,124558.000000,291013.000000,449789.000000,437762.000000,471302.000000
"T04","1991",15,1379426.000000,453670.000000,2722308.000000,879693.000000,643596.000000,248516.000000,71119.000000,51313.000000,429132.000000,250265.000000,235579.000000,193205.000000,658112.000000,276080.000000,27310.000000,22899.000000,270388.000000,165065.000000,3188.000000,3901.000000,131374.000000,124655.000000,252510.000000,274972.000000,2064848.000000,584751.000000,1334746.000000,1092684.000000,485795.000000,350909.000000,364460.000000,233106.000000,484491.000000,666221.000000,848952.000000,827100.000000
"T04","1992",15,1978010.000000,1054687.000000,2775565.000000,1097301.000000,500421.000000,266369.000000,128979.000000,135164.000000,1111802.000000,796802.000000,236809.000000,282235.000000,354797.000000,194690.000000,26289.000000,23756.000000,129769.000000,71829.000000,4919.000000,5011.000000,71948.000000,42382.000000,209831.000000,175914.000000,2359097.000000,1118141.000000,1036498.000000,914538.000000,287743.000000,188991.000000,205512.000000,263785.000000,543243.000000,653735.000000,748755.000000,908911.000000
"T04","1993",16,848810.000000,363005.000000,1647532.000000,430628.000000,160693.000000,62162.000000,56081.000000,44996.000000,381374.000000,172219.000000,250663.000000,257450.000000,97484.000000,53539.000000,10371.000000,7935.000000,72614.000000,37864.000000,764.000000,1626.000000,59025.000000,33873.000000,558464.000000,334471.000000,956666.000000,372635.000000,1146183.000000,594572.000000,568171.000000,323143.000000,56957.000000,70873.000000,521055.000000,546596.000000,578012.000000,610110.000000
"T04","1994",16,356246.000000,156693.000000,1007104.000000,451486.000000,76263.000000,36340.000000,37896.000000,26761.000000,96974.000000,58677.000000,145112.000000,122008.000000,93707.000000,40168.000000,7596.000000,7119.000000,161944.000000,84781.000000,0.000000,0.000000,127473.000000,100886.000000,260137.000000,189157.000000,457549.000000,178694.000000,1028103.000000,697829.000000,643345.000000,524200.000000,95537.000000,81853.000000,289220.000000,284054.000000,384757.000000,329104.000000
"T04","1995",16,811734.000000,807143.000000,2096344.000000,1299465.000000,407845.000000,442563.000000,25375.000000,17641.000000,280966.000000,328395.000000,97549.000000,115199.000000,467226.000000,450383.000000,17070.000000,13533.000000,300063.000000,189964.000000,1535.000000,2233.000000,198207.000000,192995.000000,300509.000000,207961.000000,1296030.000000,1208021.000000,1538308.000000,945949.000000,675120.000000,424282.000000,706641.000000,738400.000000,156547.000000,169862.000000,863188.000000,805917.000000
"T04","1996",16,742974.000000,595718.000000,1456364.000000,1174485.000000,404402.000000,464286.000000,153657.000000,120413.000000,98166.000000,71768.000000,86748.000000,67535.000000,315854.000000,442751.000000,139048.000000,127264.000000,44989.000000,42121.000000,4603.000000,5195.000000,32054.000000,33620.000000,176841.000000,143114.000000,1197876.000000,1085032.000000,729750.000000,589474.000000,223512.000000,145814.000000,397337.000000,423627.000000,108900.000000,122216.000000,506237.000000,533304.000000
"T04","1997",16,478055.000000,211981.000000,1051879.000000,323965.000000,205916.000000,103966.000000,32414.000000,20200.000000,221664.000000,122734.000000,18061.000000,12686.000000,238003.000000,99369.000000,6545.000000,6737.000000,106308.000000,52384.000000,734.000000,1564.000000,87749.000000,42410.000000,134484.000000,81964.000000,722603.000000,251063.000000,494443.000000,345855.000000,188883.000000,91602.000000,205881.000000,208185.000000,99679.000000,148336.000000,305560.000000,316959.000000
"T04","1998",16,403196.000000,347716.000000,771087.000000,373615.000000,84605.000000,83910.000000,43956.000000,48596.000000,177811.000000,145367.000000,96824.000000,155903.000000,10740.000000,8510.000000,9391.000000,6718.000000,8445.000000,8751.000000,771.000000,1643.000000,16134.000000,12690.000000,320868.000000,244011.000000,423327.000000,355370.000000,477749.000000,320493.000000,399268.000000,303830.000000,32519.000000,65910.000000,45963.000000,89392.000000,78481.000000,155168.000000
"T04","1999",16,312049.000000,239298.000000,3074360.000000,2743906.000000,95783.000000,87670.000000,54917.000000,66443.000000,90501.000000,85489.000000,70848.000000,101501.000000,447906.000000,375323.000000,70998.000000,38421.000000,781883.000000,799277.000000,48411.000000,36800.000000,699162.000000,899596.000000,713951.000000,774801.000000,830953.000000,571333.000000,1804162.000000,1377638.000000,1237351.000000,1087752.000000,499701.000000,551434.000000,67110.000000,88769.000000,566811.000000,595051.000000
